#         ms          mr          mg          mh           d        psat        dn4k         sfr      hdelta        rexp     nsersic         con       sigv1          ka
#
   1.414e+10      -19.69       -19.1   2.812e+11           0      0.1908       1.291      -10.27       2.886       5.063       1.138       2.116       55.96           0
   2.164e+10      -19.17      -18.23   3.643e+11           0           0       1.903      -11.94      -2.011       2.947       5.211       2.672       110.1           0
   3.277e+10      -19.32      -18.34   5.034e+11           0           0       1.812       -11.6      -2.007        2.45           6       3.294       175.7           0
   1.973e+10      -18.33      -17.58   3.422e+11           0           0        1.26       -10.3        2.23       7.617      0.8854       2.535       57.81           0
   1.058e+10      -19.99      -19.64   2.424e+11           0           0      0.9033      -8.008      -5.378           0       2.015       2.303           0           0
   8.876e+09      -19.33      -18.65   2.219e+11           0           0       1.184      -10.57       2.914       7.001       1.748        2.48       64.64           0
   6.151e+10      -20.21      -19.49   9.764e+11           0           0       1.806      -11.76      -1.385       7.249       3.392       2.488       108.4           0
   9.282e+09      -18.97      -18.43   2.272e+11           0           0       1.379       -10.1       2.205       6.975       1.115       2.258       68.68           0
   1.384e+11      -20.99      -20.02   5.671e+12           0           0       1.882      -11.61      -2.432       4.673           6       3.407       256.1           0
   7.704e+09       -19.2      -18.89   2.075e+11           0           0        1.21      -10.48       4.893       7.649       2.265       2.608        58.9           0
    1.81e+11      -20.58      -19.66   5.063e+12           0           0       1.644      -10.96       2.735       7.479       1.712       2.902       141.4           0
    5.44e+09      -17.95      -17.08   1.769e+11           0    0.003341       1.859       -11.5       4.578           0           6       2.813           0           0
   1.276e+10      -19.14      -18.41   2.659e+11           0           0       1.277      -10.11       2.898       2.176       2.534       2.923       94.05           0
   2.482e+10      -19.67      -18.88    4.04e+11           0           0       1.601      -11.02       2.265       2.404       4.855        3.29       114.5           0
   4.923e+10      -20.01      -19.09   1.105e+12           0           0       1.846      -11.92      -2.048       4.113       3.392       3.058       138.5           0
